Task_Type,Current_Status,Business_Impact,Days_to_Deadline,Deadline_Class,Priority
Portal Learning Management System (LMS),In Progress,High,3,Low,High
Project Closure Report,Completed,Low,30,High,Low
Project Closure Report,In Progress,Low,7,Low,Low
Human Resource Management (HRM),In Progress,Medium,21,High,Medium
Data Management and Storage,In Progress,Medium,4,Low,Medium
Finalization and Integration,In Progress,High,14,Medium,Medium
Communication and Collaboration Tools,To Do,High,8,Low,High
Contract Documentation,Completed,High,16,Medium,Low
Contract Documentation,To Do,High,11,Medium,Low
User Interface and User Experience (UI/UX),Completed,High,6,Low,Low
Inventory Management,Completed,Low,17,Medium,Low
Transfer of Knowledge (TOK),To Do,Low,26,High,Low
User Authentication and Access Control,In Progress,Medium,10,Medium,Medium
Notification System,Completed,Medium,7,Low,Low
Contract Documentation,To Do,High,6,Low,High
Human Resource Management (HRM),In Progress,High,18,Medium,Low
Transfer of Knowledge (TOK),In Progress,Medium,12,Medium,Medium
Data Management and Storage,Completed,High,2,Low,Low
Inventory Management,In Progress,High,23,High,Medium
Contract Documentation,In Progress,High,1,Low,High
Project Management Information System (PMIS),To Do,High,14,Medium,Low
Change Management,To Do,Low,16,Medium,Low
Training Management,To Do,Medium,13,Medium,Medium
Project Closure Report,To Do,Medium,23,High,Low
Reporting and Analytics,In Progress,Medium,12,Medium,Medium
Office Renovation,To Do,High,18,Medium,Low
Training Management,To Do,Low,1,Low,Low
Business Continuity Plan (BCP),Completed,Medium,28,High,Low
Monitoring & Control Reports,Completed,Low,25,High,Low
Portal Learning Management System (LMS),In Progress,Low,3,Low,Low
Transfer of Knowledge (TOK),To Do,High,11,Medium,High
Transfer of Technology (TOT),To Do,Low,2,Low,Low
Workflow Management,In Progress,High,9,Low,High
Notification System,Completed,High,28,High,Low
Certificate of Acceptance (CoA),To Do,High,7,Low,High
Payment Gateway Integration,Completed,Medium,27,High,Low
Project Management Information System (PMIS),Completed,Low,15,Medium,Low
Data Services & Management,To Do,Low,13,Medium,Medium
Reporting and Analytics,In Progress,Low,17,Medium,Medium
Data Services & Management,To Do,Low,16,Medium,High
Human Resource Management (HRM),Completed,High,19,Medium,Low
Workflow Management,Completed,Medium,6,Low,Low
Workflow Management,Completed,High,14,Medium,Low
Transfer of Knowledge (TOK),To Do,Medium,5,Low,Medium
Contract Documentation,In Progress,Medium,12,Medium,Medium
Portal Learning Management System (LMS),To Do,Low,28,High,Low
Data Management and Storage,In Progress,Medium,19,Medium,Medium
Finalization and Integration,To Do,Medium,9,Low,High
Training Management,In Progress,Medium,18,Medium,Medium
Reporting and Analytics,To Do,Low,27,High,Medium
Notification System,In Progress,Medium,7,Low,Medium
Data Services & Management,Completed,Medium,9,Low,Low
Inventory Management,Completed,Low,5,Low,Low
Data Services & Management,Completed,Low,29,High,Low
Human Resource Management (HRM),Completed,High,27,High,Low
Data Services & Management,To Do,Low,27,High,Low
Office Renovation,Completed,Medium,15,Medium,Low
Project Management,In Progress,Medium,20,High,Medium
Inventory Management,Completed,Medium,15,Medium,Low
Reporting and Analytics,Completed,High,15,Medium,Low
Monitoring & Control Reports,Completed,Low,25,High,Low
Certificate of Acceptance (CoA),To Do,Low,9,Low,Low
Workflow Management,Completed,High,11,Medium,Low
Portal Learning Management System (LMS),To Do,High,25,High,Low
Transfer of Knowledge (TOK),In Progress,Low,18,Medium,Medium
Certificate of Acceptance (CoA),Completed,Medium,17,Medium,Low
Payment Gateway Integration,In Progress,Medium,18,Medium,Medium
Payment Gateway Integration,In Progress,Medium,19,Medium,Medium
Notification System,Completed,Low,17,Medium,Low
Business Continuity Plan (BCP),In Progress,Low,18,Medium,Low
Contract Documentation,Completed,Medium,16,Medium,Low
Portal Learning Management System (LMS),Completed,High,23,High,Low
Contract Documentation,Completed,High,30,High,Low
Project Closure Report,Completed,High,10,Medium,Low
Customer Relationship Management (CRM),In Progress,Medium,1,Low,Medium
Transfer of Technology (TOT),In Progress,High,24,High,Low
Human Resource Management (HRM),To Do,High,23,High,Medium
Data Lake & Data Warehouse Operation,In Progress,High,16,Medium,Medium
Monitoring & Control Reports,To Do,Medium,8,Low,Low
User Interface and User Experience (UI/UX),In Progress,Low,15,Medium,Low
Project Management Information System (PMIS),In Progress,Low,13,Medium,Low
Payment Gateway Integration,To Do,Low,4,Low,High
Transfer of Knowledge (TOK),Completed,High,14,Medium,Low
Project Management Information System (PMIS),To Do,High,19,Medium,Low
Certificate of Acceptance (CoA),Completed,High,10,Medium,Low
Transfer of Technology (TOT),To Do,Low,12,Medium,Low
Finalization and Integration,Completed,Low,20,High,Low
Data Management and Storage,In Progress,Medium,9,Low,Low
Certificate of Acceptance (CoA),To Do,Low,13,Medium,High
Project Management Information System (PMIS),Completed,Medium,16,Medium,Low
Project Closure Report,To Do,Low,30,High,Low
Project Closure Report,To Do,Low,29,High,Low
Payment Gateway Integration,To Do,Low,20,High,Medium
Change Management,Completed,High,1,Low,Low
Notification System,In Progress,Low,3,Low,High
Inventory Management,In Progress,High,18,Medium,Medium
Certificate of Acceptance (CoA),Completed,Low,20,High,Low
Communication and Collaboration Tools,To Do,Low,19,Medium,Low
Notification System,Completed,High,3,Low,Low
Transfer of Technology (TOT),In Progress,Medium,6,Low,Low
Portal,To Do,Low,7,Low,Low
Customer Relationship Management (CRM),To Do,Medium,6,Low,Low
Human Resource Management (HRM),In Progress,Medium,16,Medium,Medium
Transfer of Knowledge (TOK),To Do,Low,5,Low,Medium
Enterprise Architecture (EA),In Progress,High,29,High,High
Inventory Management,In Progress,High,26,High,High
Data Lake & Data Warehouse Operation,In Progress,Medium,29,High,Medium
Payment Gateway Integration,To Do,Low,11,Medium,Low
Finalization and Integration,To Do,Medium,29,High,Medium
Portal Learning Management System (LMS),To Do,Low,13,Medium,Low
User Authentication and Access Control,Completed,High,17,Medium,Low
Certificate of Acceptance (CoA),To Do,Low,19,Medium,Low
User Interface and User Experience (UI/UX),Completed,Low,6,Low,Low
Data Services & Management,In Progress,High,24,High,Low
Human Resource Management (HRM),In Progress,High,3,Low,High
Notification System,In Progress,High,25,High,Medium
Audit and Compliance,In Progress,High,23,High,Low
Communication and Collaboration Tools,Completed,Low,16,Medium,Low
Transfer of Knowledge (TOK),To Do,Medium,24,High,Medium
Enterprise Architecture (EA),To Do,High,16,Medium,Medium
Contract Documentation,To Do,Low,3,Low,Low
Audit and Compliance,Completed,High,15,Medium,Low
Customer Relationship Management (CRM),Completed,Low,20,High,Low
Customer Relationship Management (CRM),Completed,Medium,15,Medium,Low
Business Continuity Plan (BCP),In Progress,Low,5,Low,Low
Portal Learning Management System (LMS),Completed,Medium,17,Medium,Low
Inventory Management,To Do,High,13,Medium,Medium
Business Continuity Plan (BCP),In Progress,Medium,4,Low,Low
Portal Learning Management System (LMS),Completed,Medium,28,High,Low
Human Resource Management (HRM),To Do,High,15,Medium,High
Project Management,To Do,High,6,Low,High
Customer Relationship Management (CRM),In Progress,High,9,Low,High
Management Plans,In Progress,Medium,12,Medium,Medium
Business Continuity Plan (BCP),Completed,Medium,24,High,Low
Training Management,To Do,High,27,High,Low
User Authentication and Access Control,To Do,Low,5,Low,Low
Office Renovation,To Do,High,26,High,Low
Human Resource Management (HRM),In Progress,Medium,12,Medium,Medium
Project Management Information System (PMIS),To Do,Low,12,Medium,Low
Notification System,Completed,Low,22,High,Low
Reporting and Analytics,Completed,Low,26,High,Low
DevOps,To Do,Low,26,High,Low
Workflow Management,To Do,Medium,26,High,Low
Project Closure Report,In Progress,Medium,15,Medium,Medium
Data Management and Storage,To Do,High,4,Low,High
Data Services & Management,In Progress,Medium,6,Low,Low
Notification System,To Do,Low,26,High,High
Project Closure Report,Completed,High,18,Medium,Low
Workflow Management,In Progress,Medium,16,Medium,Medium
Project Management Information System (PMIS),In Progress,High,25,High,Low
User Interface and User Experience (UI/UX),Completed,High,16,Medium,Low
Customer Relationship Management (CRM),To Do,High,16,Medium,Low
Certificate of Acceptance (CoA),In Progress,High,5,Low,High
Data Services & Management,Completed,Medium,24,High,Low
Human Resource Management (HRM),To Do,Medium,29,High,High
Communication and Collaboration Tools,In Progress,Low,14,Medium,Low
Human Resource Management (HRM),In Progress,Medium,26,High,Low
Inventory Management,Completed,Medium,20,High,Low
Project Management Information System (PMIS),In Progress,Low,19,Medium,Low
Data Management and Storage,To Do,Medium,25,High,Low
Human Resource Management (HRM),Completed,Low,17,Medium,Low
Inventory Management,In Progress,Low,18,Medium,High
Payment Gateway Integration,Completed,Medium,9,Low,Low
Project Closure Report,Completed,Medium,3,Low,Low
Portal,To Do,Medium,5,Low,Low
DevOps,To Do,High,1,Low,High
Transfer of Knowledge (TOK),Completed,High,11,Medium,Low
Finalization and Integration,Completed,Low,3,Low,Low
Office Renovation,Completed,High,23,High,Low
Notification System,In Progress,Low,29,High,Medium
User Interface and User Experience (UI/UX),To Do,Low,25,High,High
Training Management,In Progress,High,7,Low,High
Customer Relationship Management (CRM),To Do,Medium,26,High,High
Payment Gateway Integration,Completed,High,9,Low,Low
Enterprise Architecture (EA),To Do,High,7,Low,High
Enterprise Architecture (EA),To Do,High,24,High,High
Contract Documentation,In Progress,High,26,High,Low
Monitoring & Control Reports,In Progress,Medium,1,Low,High
User Authentication and Access Control,In Progress,Medium,3,Low,Medium
Office Renovation,In Progress,Low,15,Medium,Low
Business Continuity Plan (BCP),To Do,Low,1,Low,Low
Human Resource Management (HRM),Completed,Low,15,Medium,Low
Office Renovation,Completed,Low,27,High,Low
Office Renovation,In Progress,High,19,Medium,Low
Human Resource Management (HRM),Completed,Low,23,High,Low
User Authentication and Access Control,In Progress,High,27,High,Low
Project Management,Completed,Medium,7,Low,Low
User Authentication and Access Control,In Progress,Medium,27,High,Medium
Transfer of Technology (TOT),To Do,Low,16,Medium,Low
Training Management,In Progress,High,14,Medium,Low
Certificate of Acceptance (CoA),In Progress,Medium,21,High,Medium
Project Closure Report,To Do,Medium,30,High,Low
Customer Relationship Management (CRM),To Do,Low,11,Medium,Low
User Authentication and Access Control,Completed,Medium,13,Medium,Low
Payment Gateway Integration,To Do,Low,15,Medium,Low
Customer Relationship Management (CRM),To Do,Low,2,Low,Low
Portal Learning Management System (LMS),Completed,Low,1,Low,Low
Change Management,Completed,Low,21,High,Low
Transfer of Technology (TOT),In Progress,Low,22,High,Low
Inventory Management,In Progress,Low,20,High,Medium
Training Management,In Progress,High,19,Medium,Low
Project Management,Completed,Low,9,Low,Low
Certificate of Acceptance (CoA),In Progress,Medium,5,Low,Low
Portal Learning Management System (LMS),Completed,Low,22,High,Low
Workflow Management,To Do,High,2,Low,High
Transfer of Knowledge (TOK),Completed,Low,30,High,Low
Data Lake & Data Warehouse Operation,Completed,High,9,Low,Low
Notification System,To Do,Low,7,Low,Low
Change Management,Completed,Medium,15,Medium,Low
Inventory Management,In Progress,Low,24,High,Low
Management Plans,In Progress,Medium,1,Low,Low
User Authentication and Access Control,Completed,High,12,Medium,Low
Management Plans,Completed,High,26,High,Low
Monitoring & Control Reports,In Progress,Medium,7,Low,High
Monitoring & Control Reports,In Progress,Medium,30,High,High
Project Management Information System (PMIS),Completed,Low,29,High,Low
Portal Learning Management System (LMS),To Do,High,30,High,Low
DevOps,To Do,Low,27,High,Medium
User Interface and User Experience (UI/UX),Completed,Low,28,High,Low
Communication and Collaboration Tools,In Progress,Low,3,Low,High
DevOps,To Do,Medium,1,Low,Low
Workflow Management,To Do,Medium,24,High,Medium
DevOps,To Do,High,12,Medium,Medium
Business Continuity Plan (BCP),In Progress,Low,13,Medium,Low
Project Management Information System (PMIS),In Progress,High,2,Low,High
Portal,In Progress,Low,6,Low,High
DevOps,Completed,High,2,Low,Low
Data Management and Storage,To Do,Low,13,Medium,High
Certificate of Acceptance (CoA),Completed,High,12,Medium,Low
DevOps,In Progress,Low,27,High,Medium
Transfer of Knowledge (TOK),To Do,High,18,Medium,Medium
Communication and Collaboration Tools,Completed,Medium,13,Medium,Low
Inventory Management,Completed,High,15,Medium,Low
Management Plans,Completed,Low,26,High,Low
Transfer of Technology (TOT),To Do,High,21,High,Low
Portal,Completed,High,7,Low,Low
User Interface and User Experience (UI/UX),To Do,High,26,High,Low
Data Services & Management,Completed,High,30,High,Low
Enterprise Architecture (EA),Completed,Low,13,Medium,Low
Inventory Management,To Do,High,1,Low,High
Workflow Management,In Progress,Medium,1,Low,Low
Portal Learning Management System (LMS),To Do,Medium,18,Medium,Medium
Transfer of Technology (TOT),In Progress,High,7,Low,High
Certificate of Acceptance (CoA),Completed,High,13,Medium,Low
User Authentication and Access Control,To Do,Medium,22,High,Medium
Inventory Management,Completed,Medium,17,Medium,Low
Project Closure Report,To Do,High,9,Low,High
Data Services & Management,In Progress,High,20,High,Low
Human Resource Management (HRM),To Do,Low,2,Low,High
Human Resource Management (HRM),To Do,Medium,14,Medium,Medium
Training Management,Completed,Low,29,High,Low
Transfer of Knowledge (TOK),In Progress,Medium,22,High,Low
Office Renovation,In Progress,High,26,High,Low
Certificate of Acceptance (CoA),In Progress,Medium,12,Medium,Medium
Customer Relationship Management (CRM),In Progress,Low,10,Medium,Low
Reporting and Analytics,In Progress,Medium,10,Medium,Medium
Data Management and Storage,In Progress,High,8,Low,High
Payment Gateway Integration,In Progress,Medium,24,High,Medium
Project Management,Completed,High,25,High,Low
Certificate of Acceptance (CoA),Completed,Medium,15,Medium,Low
Inventory Management,Completed,High,12,Medium,Low
Inventory Management,In Progress,Medium,12,Medium,Medium
Certificate of Acceptance (CoA),Completed,Medium,29,High,Low
Management Plans,In Progress,Low,15,Medium,Medium
Human Resource Management (HRM),To Do,High,14,Medium,Low
Project Management,To Do,Medium,7,Low,Medium
Data Services & Management,Completed,Low,24,High,Low
Finalization and Integration,In Progress,Medium,2,Low,Medium
Transfer of Knowledge (TOK),To Do,Medium,16,Medium,Medium
