Task_Type,Current_Status,Business_Impact,Days_to_Deadline,Deadline_Class
Communication and Collaboration Tools,To Do,Medium,30,High
Project Management Information System (PMIS),To Do,High,9,Low
Data Management and Storage,In Progress,Medium,19,Medium
Training Management,Completed,High,21,High
Training Management,In Progress,High,23,High
Customer Relationship Management (CRM),To Do,Low,27,High
Contract Documentation,Completed,High,10,Medium
Training Management,In Progress,High,8,Low
Data Services & Management,In Progress,High,30,High
Human Resource Management (HRM),To Do,Medium,29,High
Data Services & Management,To Do,Medium,13,Medium
Inventory Management,In Progress,Medium,30,High
User Interface and User Experience (UI/UX),Completed,Medium,21,High
Finalization and Integration,Completed,Low,18,Medium
Finalization and Integration,In Progress,Low,7,Low
Customer Relationship Management (CRM),Completed,Medium,5,Low
Customer Relationship Management (CRM),To Do,Medium,6,Low
Finalization and Integration,Completed,Medium,16,Medium
Inventory Management,In Progress,Low,8,Low
Change Management,To Do,Medium,16,Medium
Portal Learning Management System (LMS),In Progress,Low,13,Medium
Human Resource Management (HRM),Completed,Medium,21,High
Change Management,In Progress,Medium,17,Medium
Finalization and Integration,In Progress,Low,18,Medium
Project Management Information System (PMIS),Completed,Low,20,High
Finalization and Integration,To Do,High,12,Medium
Human Resource Management (HRM),Completed,Low,3,Low
User Interface and User Experience (UI/UX),In Progress,High,4,Low
Finalization and Integration,In Progress,Low,21,High
Enterprise Architecture (EA),To Do,High,6,Low
Project Management Information System (PMIS),In Progress,Low,16,Medium
Payment Gateway Integration,In Progress,Medium,18,Medium
Reporting and Analytics,To Do,Medium,15,Medium
Project Management,Completed,High,17,Medium
Transfer of Knowledge (TOK),Completed,High,6,Low
Audit and Compliance,Completed,Low,25,High
Portal,Completed,Medium,17,Medium
Notification System,To Do,Medium,21,High
Payment Gateway Integration,In Progress,Medium,14,Medium
Payment Gateway Integration,To Do,Medium,1,Low
Portal,In Progress,Low,28,High
DevOps,Completed,High,1,Low
Data Management and Storage,Completed,Low,12,Medium
Transfer of Knowledge (TOK),To Do,Medium,13,Medium
Inventory Management,To Do,Low,13,Medium
Human Resource Management (HRM),To Do,Low,15,Medium
Reporting and Analytics,To Do,Low,17,Medium
Reporting and Analytics,To Do,Low,12,Medium
User Interface and User Experience (UI/UX),To Do,Low,20,High
Audit and Compliance,Completed,Medium,7,Low
Portal,Completed,Low,8,Low
Data Lake & Data Warehouse Operation,Completed,High,6,Low
Business Continuity Plan (BCP),Completed,Medium,30,High
Communication and Collaboration Tools,Completed,Medium,4,Low
Workflow Management,Completed,Medium,7,Low
Office Renovation,Completed,High,23,High
Project Management,Completed,Low,21,High
Reporting and Analytics,In Progress,Low,25,High
Change Management,To Do,Low,26,High
Transfer of Knowledge (TOK),To Do,High,5,Low
Project Management,To Do,Medium,5,Low
Enterprise Architecture (EA),To Do,Medium,13,Medium
Change Management,In Progress,Low,9,Low
User Interface and User Experience (UI/UX),To Do,Medium,19,Medium
User Interface and User Experience (UI/UX),In Progress,Medium,22,High
Workflow Management,In Progress,Medium,6,Low
Certificate of Acceptance (CoA),In Progress,Low,25,High
Contract Documentation,Completed,Low,6,Low
Inventory Management,In Progress,Low,8,Low
Data Management and Storage,Completed,Medium,22,High
Training Management,In Progress,High,1,Low
Inventory Management,Completed,Low,25,High
Office Renovation,Completed,High,5,Low
Workflow Management,In Progress,Medium,17,Medium
Contract Documentation,Completed,Low,20,High
Certificate of Acceptance (CoA),To Do,High,4,Low
Project Management Information System (PMIS),In Progress,Low,30,High
Data Services & Management,In Progress,High,22,High
Office Renovation,Completed,Medium,11,Medium
Management Plans,In Progress,Medium,21,High
Project Management Information System (PMIS),To Do,High,30,High
Contract Documentation,In Progress,Low,29,High
Portal,In Progress,Medium,21,High
Reporting and Analytics,Completed,Low,14,Medium
Certificate of Acceptance (CoA),In Progress,High,14,Medium
Transfer of Knowledge (TOK),To Do,Medium,13,Medium
Project Closure Report,Completed,High,25,High
Project Closure Report,Completed,Medium,20,High
Business Continuity Plan (BCP),In Progress,High,20,High
Notification System,In Progress,Low,8,Low
DevOps,Completed,Medium,19,Medium
Change Management,To Do,Low,21,High
Inventory Management,To Do,Medium,13,Medium
Customer Relationship Management (CRM),To Do,High,7,Low
Monitoring & Control Reports,Completed,High,12,Medium
Transfer of Technology (TOT),To Do,High,20,High
Data Lake & Data Warehouse Operation,Completed,Medium,2,Low
Portal,Completed,Medium,4,Low
DevOps,To Do,Medium,4,Low
Training Management,Completed,Low,15,Medium
Audit and Compliance,Completed,Medium,5,Low
Reporting and Analytics,In Progress,High,16,Medium
Payment Gateway Integration,Completed,Medium,26,High
Office Renovation,Completed,Medium,9,Low
Office Renovation,In Progress,High,24,High
Inventory Management,In Progress,Low,27,High
Change Management,In Progress,Low,21,High
Contract Documentation,In Progress,Low,1,Low
Payment Gateway Integration,Completed,Low,11,Medium
Data Lake & Data Warehouse Operation,To Do,Medium,18,Medium
Transfer of Technology (TOT),In Progress,Medium,12,Medium
Portal,Completed,Medium,30,High
Notification System,To Do,High,26,High
Workflow Management,Completed,Medium,9,Low
User Authentication and Access Control,Completed,Low,20,High
Training Management,In Progress,High,14,Medium
Audit and Compliance,Completed,Medium,10,Medium
Training Management,To Do,Low,14,Medium
Enterprise Architecture (EA),To Do,Medium,14,Medium
Enterprise Architecture (EA),To Do,Low,23,High
User Authentication and Access Control,To Do,Low,26,High
Data Management and Storage,In Progress,Low,12,Medium
Office Renovation,To Do,Low,28,High
Management Plans,In Progress,High,19,Medium
User Interface and User Experience (UI/UX),Completed,Medium,30,High
Monitoring & Control Reports,To Do,Medium,18,Medium
Notification System,In Progress,High,5,Low
Reporting and Analytics,Completed,High,23,High
Project Management Information System (PMIS),Completed,High,18,Medium
Monitoring & Control Reports,In Progress,Low,13,Medium
Project Management,Completed,Low,14,Medium
Project Closure Report,Completed,Medium,21,High
User Interface and User Experience (UI/UX),In Progress,Low,29,High
Reporting and Analytics,Completed,Low,27,High
Change Management,Completed,Low,8,Low
Customer Relationship Management (CRM),In Progress,High,28,High
Management Plans,To Do,High,18,Medium
Notification System,In Progress,Low,30,High
Change Management,Completed,Medium,2,Low
Change Management,To Do,Medium,28,High
User Authentication and Access Control,To Do,Low,6,Low
Audit and Compliance,In Progress,High,30,High
Project Management Information System (PMIS),To Do,Low,1,Low
Portal,In Progress,Medium,29,High
Finalization and Integration,To Do,High,28,High
Finalization and Integration,To Do,Medium,7,Low
Communication and Collaboration Tools,To Do,Medium,1,Low
Transfer of Technology (TOT),Completed,Low,10,Medium
Monitoring & Control Reports,Completed,High,1,Low
Contract Documentation,To Do,Medium,20,High
User Interface and User Experience (UI/UX),Completed,High,18,Medium
DevOps,Completed,High,18,Medium
Customer Relationship Management (CRM),In Progress,High,16,Medium
Data Services & Management,Completed,High,26,High
Portal Learning Management System (LMS),Completed,High,25,High
Audit and Compliance,To Do,High,23,High
User Authentication and Access Control,Completed,Medium,5,Low
Payment Gateway Integration,To Do,High,22,High
User Authentication and Access Control,To Do,Low,5,Low
Reporting and Analytics,Completed,Medium,6,Low
Office Renovation,Completed,Medium,28,High
Business Continuity Plan (BCP),Completed,Low,22,High
DevOps,Completed,Medium,19,Medium
Inventory Management,In Progress,Medium,13,Medium
Audit and Compliance,To Do,Medium,2,Low
Project Management,In Progress,Low,24,High
User Interface and User Experience (UI/UX),Completed,Medium,11,Medium
Human Resource Management (HRM),Completed,Medium,24,High
Business Continuity Plan (BCP),Completed,High,21,High
Data Services & Management,To Do,High,26,High
Training Management,Completed,High,20,High
Communication and Collaboration Tools,To Do,High,15,Medium
Certificate of Acceptance (CoA),Completed,Low,15,Medium
Monitoring & Control Reports,To Do,Low,21,High
User Interface and User Experience (UI/UX),To Do,Low,7,Low
Contract Documentation,In Progress,High,8,Low
Office Renovation,To Do,Low,24,High
Data Management and Storage,Completed,Medium,9,Low
Reporting and Analytics,To Do,Low,25,High
Office Renovation,In Progress,High,4,Low
Audit and Compliance,In Progress,Low,23,High
Data Management and Storage,Completed,High,19,Medium
Notification System,Completed,Low,20,High
Workflow Management,To Do,High,25,High
Project Management Information System (PMIS),In Progress,Medium,17,Medium
Finalization and Integration,Completed,Low,18,Medium
Project Management,In Progress,Low,6,Low
Communication and Collaboration Tools,Completed,High,12,Medium
Data Services & Management,In Progress,High,27,High
Project Management Information System (PMIS),Completed,High,10,Medium
Business Continuity Plan (BCP),To Do,High,2,Low
Business Continuity Plan (BCP),In Progress,High,18,Medium
Office Renovation,Completed,Low,26,High
Inventory Management,To Do,High,18,Medium
User Interface and User Experience (UI/UX),In Progress,Low,18,Medium
Training Management,Completed,Low,2,Low
Data Services & Management,To Do,Low,29,High
Project Management Information System (PMIS),To Do,High,12,Medium
Management Plans,To Do,High,18,Medium
Customer Relationship Management (CRM),In Progress,High,11,Medium
Project Closure Report,In Progress,High,2,Low
Portal,To Do,High,20,High
Data Lake & Data Warehouse Operation,To Do,High,28,High
User Interface and User Experience (UI/UX),In Progress,Medium,24,High
Data Management and Storage,In Progress,High,8,Low
Project Management,In Progress,Low,18,Medium
Audit and Compliance,To Do,High,14,Medium
Certificate of Acceptance (CoA),In Progress,Medium,18,Medium
Finalization and Integration,To Do,Low,4,Low
Human Resource Management (HRM),Completed,Medium,19,Medium
Office Renovation,In Progress,Low,24,High
Project Management Information System (PMIS),Completed,Low,16,Medium
Contract Documentation,Completed,Low,6,Low
Data Lake & Data Warehouse Operation,In Progress,High,5,Low
Workflow Management,To Do,Medium,28,High
Data Services & Management,Completed,Low,23,High
Human Resource Management (HRM),In Progress,High,7,Low
Transfer of Technology (TOT),Completed,Low,19,Medium
Enterprise Architecture (EA),In Progress,High,4,Low
User Interface and User Experience (UI/UX),Completed,High,8,Low
Transfer of Technology (TOT),To Do,Medium,1,Low
Project Management,Completed,High,25,High
Inventory Management,To Do,Low,20,High
Project Management Information System (PMIS),Completed,Low,28,High
Project Management Information System (PMIS),To Do,Low,13,Medium
Project Management,To Do,Medium,29,High
Monitoring & Control Reports,In Progress,Medium,9,Low
Project Management Information System (PMIS),In Progress,Medium,7,Low
Data Services & Management,In Progress,Low,23,High
Management Plans,Completed,High,8,Low
Reporting and Analytics,In Progress,High,18,Medium
Project Closure Report,Completed,Medium,2,Low
Training Management,Completed,Medium,12,Medium
Workflow Management,In Progress,High,15,Medium
DevOps,In Progress,Medium,14,Medium
Change Management,Completed,Medium,9,Low
Transfer of Knowledge (TOK),In Progress,Low,6,Low
Reporting and Analytics,In Progress,High,2,Low
Finalization and Integration,Completed,High,7,Low
Contract Documentation,Completed,High,1,Low
Office Renovation,To Do,Medium,27,High
Human Resource Management (HRM),In Progress,High,7,Low
Contract Documentation,Completed,Low,7,Low
Management Plans,In Progress,Medium,15,Medium
Notification System,In Progress,High,27,High
Project Closure Report,To Do,Low,28,High
DevOps,To Do,High,24,High
Portal Learning Management System (LMS),Completed,Medium,28,High
Management Plans,In Progress,Medium,18,Medium
Project Management,In Progress,High,11,Medium
Transfer of Technology (TOT),Completed,High,21,High
Project Management,Completed,Medium,27,High
User Interface and User Experience (UI/UX),To Do,High,2,Low
Communication and Collaboration Tools,Completed,High,8,Low
Business Continuity Plan (BCP),Completed,High,17,Medium
Audit and Compliance,In Progress,High,13,Medium
Data Management and Storage,Completed,Medium,29,High
Audit and Compliance,In Progress,High,20,High
Notification System,In Progress,Medium,27,High
DevOps,Completed,Medium,16,Medium
Audit and Compliance,To Do,Medium,21,High
Communication and Collaboration Tools,To Do,High,12,Medium
Inventory Management,In Progress,High,13,Medium
Reporting and Analytics,Completed,Low,3,Low
Transfer of Technology (TOT),In Progress,Medium,20,High
Human Resource Management (HRM),Completed,Low,19,Medium
Workflow Management,Completed,High,25,High
User Authentication and Access Control,In Progress,Low,14,Medium
Management Plans,Completed,High,9,Low
Data Management and Storage,To Do,High,19,Medium
Change Management,Completed,High,22,High
Project Management Information System (PMIS),To Do,Low,11,Medium
Data Management and Storage,Completed,Medium,8,Low
User Authentication and Access Control,In Progress,Medium,12,Medium
Payment Gateway Integration,To Do,Medium,11,Medium
Enterprise Architecture (EA),In Progress,High,30,High
Data Management and Storage,In Progress,Low,26,High
Notification System,To Do,High,16,Medium
Human Resource Management (HRM),Completed,Medium,19,Medium
Office Renovation,To Do,Low,26,High
Inventory Management,In Progress,High,13,Medium
Data Lake & Data Warehouse Operation,In Progress,High,21,High
