Task_Type,Current_Status,Business_Impact,Days_to_Deadline,Deadline_Class,Priority
Portal Learning Management System (LMS),In Progress,Medium,24,High,Medium
User Authentication and Access Control,Completed,Medium,10,Medium,Medium
Contract Documentation,To Do,Medium,23,High,Low
Notification System,In Progress,High,4,Low,Low
Project Management Information System (PMIS),To Do,Medium,13,Medium,Medium
Change Management,Completed,Medium,30,High,Low
Project Closure Report,In Progress,Low,4,Low,Low
Finalization and Integration,To Do,High,21,High,High
User Authentication and Access Control,In Progress,Low,21,High,Medium
Portal,In Progress,High,11,Medium,Medium
Data Lake & Data Warehouse Operation,Completed,Medium,20,High,Medium
Customer Relationship Management (CRM),In Progress,Medium,3,Low,Medium
Management Plans,Completed,Low,3,Low,Low
Contract Documentation,To Do,Medium,2,Low,Low
Reporting and Analytics,In Progress,Low,29,High,Medium
User Interface and User Experience (UI/UX),Completed,Medium,7,Low,Medium
Project Management Information System (PMIS),Completed,Medium,16,Medium,Low
Management Plans,Completed,Low,21,High,Low
Portal,To Do,Low,17,Medium,Medium
Notification System,In Progress,Low,10,Medium,Low
Project Management,Completed,Medium,21,High,Low
Notification System,Completed,Medium,1,Low,Low
Project Closure Report,In Progress,Medium,15,Medium,Low
Inventory Management,Completed,Medium,19,Medium,Low
Contract Documentation,In Progress,Medium,16,Medium,Low
Finalization and Integration,Completed,High,25,High,Medium
Notification System,To Do,High,15,Medium,Low
Transfer of Technology (TOT),To Do,Low,2,Low,Low
Office Renovation,To Do,Medium,8,Low,Low
Transfer of Knowledge (TOK),In Progress,Medium,14,Medium,Medium
Project Management Information System (PMIS),In Progress,Low,27,High,Medium
Project Management Information System (PMIS),In Progress,Medium,9,Low,Medium
Customer Relationship Management (CRM),In Progress,Low,27,High,High
Customer Relationship Management (CRM),In Progress,High,20,High,High
Project Closure Report,In Progress,High,11,Medium,Low
Certificate of Acceptance (CoA),Completed,Medium,23,High,Low
Monitoring & Control Reports,Completed,Medium,12,Medium,Medium
Audit and Compliance,In Progress,Low,22,High,Medium
Payment Gateway Integration,Completed,Low,25,High,Medium
Customer Relationship Management (CRM),Completed,Low,23,High,Medium
Project Management Information System (PMIS),Completed,Low,3,Low,Low
Audit and Compliance,In Progress,Low,10,Medium,Medium
Training Management,In Progress,Medium,9,Low,Medium
Data Management and Storage,To Do,Low,27,High,Medium
Office Renovation,Completed,Medium,17,Medium,Low
User Authentication and Access Control,In Progress,Medium,18,Medium,Medium
Data Services & Management,To Do,Medium,9,Low,Medium
Data Lake & Data Warehouse Operation,To Do,Low,6,Low,Low
Workflow Management,To Do,High,12,Medium,Medium
Data Lake & Data Warehouse Operation,Completed,Medium,23,High,Medium
DevOps,To Do,Medium,16,Medium,Medium
User Interface and User Experience (UI/UX),To Do,Low,29,High,Medium
Payment Gateway Integration,Completed,High,28,High,High
Inventory Management,To Do,High,30,High,High
DevOps,To Do,Medium,5,Low,Medium
Transfer of Technology (TOT),In Progress,High,27,High,Medium
Data Lake & Data Warehouse Operation,In Progress,Low,19,Medium,Medium
Project Closure Report,To Do,Low,14,Medium,Low
Training Management,In Progress,High,20,High,Medium
Portal,In Progress,Medium,30,High,Medium
Inventory Management,Completed,High,25,High,Medium
Enterprise Architecture (EA),Completed,Medium,26,High,Low
Contract Documentation,To Do,Low,24,High,Low
Notification System,Completed,Low,3,Low,Low
Enterprise Architecture (EA),Completed,Medium,4,Low,Low
Change Management,To Do,High,24,High,Low
Business Continuity Plan (BCP),To Do,High,1,Low,Low
Inventory Management,In Progress,Low,13,Medium,Medium
Audit and Compliance,To Do,Low,6,Low,Low
User Authentication and Access Control,In Progress,Low,21,High,Medium
Payment Gateway Integration,In Progress,Low,17,Medium,Medium
Inventory Management,To Do,Low,15,Medium,Medium
Data Management and Storage,In Progress,High,23,High,High
User Interface and User Experience (UI/UX),In Progress,Medium,27,High,Medium
Customer Relationship Management (CRM),To Do,Medium,6,Low,Medium
Data Lake & Data Warehouse Operation,In Progress,High,22,High,High
Notification System,In Progress,High,13,Medium,Low
Management Plans,In Progress,Low,26,High,Low
Reporting and Analytics,Completed,Low,2,Low,Low
Office Renovation,In Progress,Low,30,High,Low
Human Resource Management (HRM),To Do,Low,20,High,Medium
Audit and Compliance,In Progress,Low,6,Low,Medium
Data Lake & Data Warehouse Operation,Completed,High,9,Low,Medium
Data Management and Storage,Completed,High,29,High,Medium
Audit and Compliance,Completed,High,30,High,Low
Audit and Compliance,To Do,High,28,High,Low
Office Renovation,Completed,Medium,7,Low,Low
Audit and Compliance,In Progress,Medium,30,High,Medium
User Authentication and Access Control,Completed,Medium,15,Medium,Medium
Communication and Collaboration Tools,To Do,Medium,2,Low,Medium
Portal,To Do,Medium,6,Low,Medium
Project Management,In Progress,High,16,Medium,Medium
Data Services & Management,Completed,Low,23,High,Low
Data Services & Management,Completed,High,4,Low,Low
Project Management,In Progress,Medium,20,High,Medium
Portal Learning Management System (LMS),To Do,Medium,29,High,Medium
Certificate of Acceptance (CoA),Completed,Medium,30,High,Low
Portal,In Progress,Medium,7,Low,Medium
Audit and Compliance,In Progress,High,22,High,Medium
Training Management,Completed,Medium,25,High,Low
Portal Learning Management System (LMS),In Progress,High,7,Low,Medium
Monitoring & Control Reports,Completed,Medium,9,Low,Low
Management Plans,In Progress,High,18,Medium,Low
Project Closure Report,In Progress,Medium,24,High,Low
Monitoring & Control Reports,To Do,Medium,14,Medium,Medium
Office Renovation,Completed,Medium,11,Medium,Low
Management Plans,Completed,Low,21,High,Low
Training Management,To Do,High,8,Low,Low
Contract Documentation,Completed,Medium,16,Medium,Low
DevOps,In Progress,Low,1,Low,Medium
Data Services & Management,Completed,Low,22,High,Low
Project Closure Report,In Progress,Medium,27,High,Low
Inventory Management,To Do,Medium,28,High,Medium
Monitoring & Control Reports,Completed,High,25,High,High
User Interface and User Experience (UI/UX),To Do,Medium,25,High,Medium
Workflow Management,To Do,Low,6,Low,Low
Inventory Management,In Progress,Medium,17,Medium,Medium
Workflow Management,To Do,High,4,Low,Medium
Monitoring & Control Reports,In Progress,High,11,Medium,Medium
Reporting and Analytics,In Progress,High,29,High,High
DevOps,Completed,Low,12,Medium,Low
Portal,Completed,High,24,High,Medium
Business Continuity Plan (BCP),To Do,High,26,High,Medium
User Interface and User Experience (UI/UX),To Do,High,22,High,High
Transfer of Technology (TOT),In Progress,Low,20,High,Medium
DevOps,Completed,High,15,Medium,Low
Reporting and Analytics,In Progress,Medium,24,High,Medium
Payment Gateway Integration,Completed,Medium,24,High,Medium
Notification System,Completed,Medium,27,High,Low
DevOps,To Do,Low,19,Medium,Medium
Audit and Compliance,Completed,High,5,Low,Low
Contract Documentation,To Do,Medium,10,Medium,Low
Workflow Management,To Do,Low,19,Medium,Medium
Management Plans,In Progress,High,10,Medium,Low
Project Management,Completed,High,11,Medium,Low
User Interface and User Experience (UI/UX),Completed,High,25,High,Medium
Project Closure Report,In Progress,High,14,Medium,Low
Project Closure Report,In Progress,Medium,18,Medium,Low
Reporting and Analytics,In Progress,Low,11,Medium,Medium
Customer Relationship Management (CRM),In Progress,Medium,28,High,High
Portal Learning Management System (LMS),Completed,High,19,Medium,Low
Training Management,To Do,Low,7,Low,Low
Communication and Collaboration Tools,In Progress,High,15,Medium,Medium
Data Lake & Data Warehouse Operation,Completed,High,17,Medium,Medium
Project Management,In Progress,Medium,3,Low,Medium
Project Closure Report,To Do,Medium,7,Low,Low
Portal Learning Management System (LMS),Completed,Medium,19,Medium,Low
Office Renovation,Completed,High,23,High,Low
Portal Learning Management System (LMS),To Do,Low,20,High,Medium
Workflow Management,Completed,Low,12,Medium,Low
Project Closure Report,To Do,High,11,Medium,Low
Management Plans,To Do,Medium,6,Low,Low
Training Management,To Do,Medium,18,Medium,Low
Project Management Information System (PMIS),To Do,High,27,High,High
Human Resource Management (HRM),To Do,High,14,Medium,Medium
Human Resource Management (HRM),Completed,High,15,Medium,Low
User Authentication and Access Control,To Do,Low,19,Medium,Medium
Communication and Collaboration Tools,To Do,High,7,Low,Medium
Project Closure Report,In Progress,High,6,Low,Low
Certificate of Acceptance (CoA),To Do,High,24,High,Medium
Project Management,In Progress,Medium,24,High,Medium
Training Management,Completed,Low,19,Medium,Low
User Authentication and Access Control,In Progress,Medium,18,Medium,Medium
Inventory Management,Completed,Low,24,High,Low
Business Continuity Plan (BCP),Completed,High,27,High,Low
Business Continuity Plan (BCP),To Do,Medium,11,Medium,Medium
Data Lake & Data Warehouse Operation,In Progress,High,24,High,High
Workflow Management,Completed,High,23,High,Medium
Human Resource Management (HRM),To Do,High,8,Low,Medium
Enterprise Architecture (EA),To Do,High,21,High,Medium
Certificate of Acceptance (CoA),To Do,Medium,16,Medium,Low
Portal,In Progress,Medium,15,Medium,Medium
Finalization and Integration,To Do,Low,20,High,Medium
Certificate of Acceptance (CoA),In Progress,High,2,Low,Low
Notification System,In Progress,Medium,13,Medium,Low
User Authentication and Access Control,To Do,Low,21,High,Medium
Training Management,Completed,Low,18,Medium,Low
DevOps,In Progress,Medium,17,Medium,Medium
Customer Relationship Management (CRM),In Progress,Low,2,Low,Medium
Reporting and Analytics,In Progress,Low,24,High,Medium
Portal,In Progress,Medium,9,Low,Medium
Payment Gateway Integration,To Do,Medium,8,Low,Medium
Payment Gateway Integration,In Progress,Low,26,High,Medium
Notification System,Completed,Medium,26,High,Low
User Interface and User Experience (UI/UX),Completed,High,6,Low,Medium
Management Plans,To Do,Medium,8,Low,Low
Transfer of Technology (TOT),Completed,Low,16,Medium,Low
Change Management,Completed,Low,17,Medium,Low
Data Services & Management,In Progress,High,19,Medium,High
Communication and Collaboration Tools,To Do,High,27,High,High
Payment Gateway Integration,Completed,Medium,10,Medium,Medium
Portal,In Progress,Low,7,Low,Low
Workflow Management,To Do,Low,19,Medium,Medium
Management Plans,In Progress,Medium,29,High,Low
Certificate of Acceptance (CoA),In Progress,Low,10,Medium,Low
Management Plans,Completed,Low,8,Low,Low
Transfer of Knowledge (TOK),In Progress,Medium,20,High,Medium
Project Management Information System (PMIS),Completed,Medium,11,Medium,Low
Transfer of Knowledge (TOK),In Progress,Low,11,Medium,Medium
Contract Documentation,Completed,Medium,21,High,Low
Data Lake & Data Warehouse Operation,In Progress,High,27,High,High
Finalization and Integration,Completed,Low,26,High,Low
User Interface and User Experience (UI/UX),Completed,Low,22,High,Medium
User Interface and User Experience (UI/UX),To Do,High,7,Low,Medium
Project Management,In Progress,High,1,Low,Medium
Communication and Collaboration Tools,In Progress,Low,16,Medium,Medium
Data Management and Storage,In Progress,Low,1,Low,Low
Finalization and Integration,To Do,High,8,Low,Medium
User Authentication and Access Control,Completed,Medium,18,Medium,Medium
Data Services & Management,Completed,High,8,Low,Low
Data Lake & Data Warehouse Operation,To Do,Low,19,Medium,Medium
User Authentication and Access Control,To Do,Medium,28,High,Medium
Notification System,To Do,Medium,26,High,Low
Contract Documentation,Completed,High,12,Medium,Low
Payment Gateway Integration,To Do,Medium,19,Medium,Medium
Audit and Compliance,In Progress,High,26,High,Medium
Training Management,To Do,Medium,2,Low,Low
Transfer of Technology (TOT),Completed,High,16,Medium,Low
Inventory Management,In Progress,Low,26,High,Medium
Human Resource Management (HRM),Completed,Low,19,Medium,Low
Management Plans,Completed,Medium,9,Low,Low
Portal,In Progress,Low,11,Medium,Medium
Data Lake & Data Warehouse Operation,Completed,Low,20,High,Medium
Finalization and Integration,In Progress,High,9,Low,Medium
Workflow Management,Completed,High,28,High,Medium
Change Management,To Do,Low,7,Low,Low
Project Management,To Do,High,21,High,Medium
Data Services & Management,To Do,Low,21,High,Medium
Certificate of Acceptance (CoA),Completed,Medium,9,Low,Low
Workflow Management,In Progress,High,10,Medium,Medium
Transfer of Knowledge (TOK),Completed,Medium,6,Low,Low
DevOps,To Do,High,28,High,High
Payment Gateway Integration,To Do,High,24,High,High
Portal,To Do,High,30,High,High
Transfer of Technology (TOT),Completed,Low,10,Medium,Low
Reporting and Analytics,In Progress,High,27,High,High
Data Lake & Data Warehouse Operation,Completed,High,1,Low,Medium
Inventory Management,To Do,High,24,High,High
Portal Learning Management System (LMS),Completed,High,8,Low,Low
User Authentication and Access Control,To Do,High,22,High,High
Audit and Compliance,To Do,Medium,10,Medium,Low
Data Management and Storage,In Progress,High,25,High,High
Customer Relationship Management (CRM),Completed,Low,26,High,Medium
Transfer of Technology (TOT),Completed,Low,5,Low,Low
Inventory Management,Completed,High,27,High,Medium
Customer Relationship Management (CRM),To Do,Medium,30,High,Medium
Transfer of Technology (TOT),In Progress,High,30,High,Medium
Portal,Completed,High,12,Medium,Low
User Interface and User Experience (UI/UX),Completed,Medium,14,Medium,Medium
Workflow Management,In Progress,Medium,7,Low,Medium
Training Management,Completed,High,11,Medium,Low
Data Services & Management,Completed,Medium,25,High,Low
Transfer of Knowledge (TOK),In Progress,Low,9,Low,Low
Office Renovation,To Do,Medium,7,Low,Low
DevOps,Completed,Low,1,Low,Low
Change Management,In Progress,Medium,2,Low,Low
DevOps,Completed,Medium,12,Medium,Low
Project Management,In Progress,Low,21,High,Medium
DevOps,Completed,Medium,24,High,Low
User Interface and User Experience (UI/UX),To Do,Medium,25,High,Medium
Management Plans,To Do,High,28,High,Medium
Certificate of Acceptance (CoA),In Progress,Medium,25,High,Medium
Data Services & Management,In Progress,Medium,11,Medium,Medium
Transfer of Technology (TOT),To Do,Medium,8,Low,Low
Project Management,To Do,High,8,Low,Medium
Management Plans,In Progress,High,19,Medium,Low
Payment Gateway Integration,In Progress,Low,6,Low,Medium
Data Lake & Data Warehouse Operation,Completed,Low,3,Low,Low
Data Lake & Data Warehouse Operation,Completed,Medium,29,High,Medium
Finalization and Integration,In Progress,High,3,Low,Medium
User Interface and User Experience (UI/UX),To Do,Low,17,Medium,Medium
User Interface and User Experience (UI/UX),Completed,Low,23,High,Medium
Change Management,To Do,Low,1,Low,Low
Audit and Compliance,In Progress,Medium,15,Medium,Medium
Data Lake & Data Warehouse Operation,To Do,High,30,High,High
Notification System,In Progress,Low,21,High,Low
Certificate of Acceptance (CoA),Completed,Low,29,High,Low
Contract Documentation,In Progress,Low,20,High,Medium
Change Management,Completed,High,2,Low,Low
Workflow Management,To Do,Low,21,High,Medium
